symbol,market,name,em_code,em_id
JNUG,US,二倍做多小金矿指数ETF-Direxion,107.JNUG,107
CVRX,US,CVRx Inc,105.CVRX,105
MNTSW,US,Momentus Inc Wt,105.MNTSW,105
SBEV_WS,US,Splash Beverage Group Inc Wt,107.SBEV_WS,107
COMM,US,CommScope Holding Co Inc,105.COMM,105
DUOT,US,Duos Technologies Group Inc,105.DUOT,105
QMCO,US,昆腾,105.QMCO,105
CNCK,US,Coincheck Group NV,105.CNCK,105
MOB,US,Mobilicom Ltd ADR,105.MOB,105
GNS,US,Genius Group Ltd,107.GNS,107
LNZAW,US,LanzaTech Global Inc Wt,105.LNZAW,105
ARBE,US,Arbe Robotics Ltd,105.ARBE,105
WULF,US,TeraWulf Inc,105.WULF,105
IBP,US,Installed Building Products Inc,106.IBP,106
BMA,US,Banco Macro SA ADR,106.BMA,106
SMWB,US,Similarweb Ltd,106.SMWB,106
AMTD,US,尚乘IDEA集团,106.AMTD,106
UWMC,US,UWM Holdings Corp-A,106.UWMC,106
LUCYW,US,Innovative Eyewear Inc Wt-A,105.LUCYW,105
KLTR,US,Kaltura Inc,105.KLTR,105
NCTY,US,第九城市,105.NCTY,105
YOSH,US,Yoshiharu Global Co-A,105.YOSH,105
CDE,US,科尔黛伦矿业,106.CDE,106
CCCC,US,C4 Therapeutics Inc,105.CCCC,105
ALTG,US,Alta Equipment Group Inc-A,106.ALTG,106
OPT,US,Opthea Ltd ADR,105.OPT,105
EZFL,US,EzFill Holdings Inc,105.EZFL,105
YINN,US,三倍做多富时中国ETF-Direxion,107.YINN,107
SVCO,US,Silvaco Group Inc,105.SVCO,105
FUFUW,US,BitFuFu Inc Wt,105.FUFUW,105
XPEV,US,小鹏汽车,106.XPEV,106
CRNT,US,Ceragon网络,105.CRNT,105
CVGI,US,商用汽车,105.CVGI,105
DFH,US,Dream Finders Homes Inc-A,106.DFH,106
SKE,US,Skeena Resources Ltd,106.SKE,106
WOK,US,沃氪医疗,105.WOK,105
FLNT,US,Fluent Inc,105.FLNT,105
BBAI,US,BigBear.ai Holdings Inc,106.BBAI,106
GTLB,US,Gitlab Inc-A,105.GTLB,105
MAG,US,MAG Silver Corp,107.MAG,107
LDWY,US,Lendway Inc,105.LDWY,105
SEAT,US,Vivid Seats Inc-A,105.SEAT,105
TATT,US,TAT Technologies Ltd,105.TATT,105
SASR,US,Sandy Spring Bancorp Inc,105.SASR,105
TLX,US,Telix Pharmaceuticals Ltd ADR,105.TLX,105
LPAAW,US,Launch One Acquisition Corp Wts,105.LPAAW,105
AMST,US,Amesite Inc,105.AMST,105
TIGR,US,老虎证券,105.TIGR,105
BBAR,US,Banco BBVA Argentina SA ADR,106.BBAR,106
PMEC,US,Primech Holdings Ltd,105.PMEC,105
HURA,US,TuHURA Biosciences Inc,105.HURA,105
NUKK,US,Nukkleus Inc,105.NUKK,105
RILYK,US,B. Riley Financial Inc Notes,105.RILYK,105
PNBK,US,爱国者国家银行,105.PNBK,105
DSS,US,DSS Inc,107.DSS,107
MRNOW,US,Murano Global Investments PLC W,105.MRNOW,105
HUBC,US,HUB Cyber Security Ltd,105.HUBC,105
AYRO,US,AYRO Inc,105.AYRO,105
ACDC,US,ProFrac Holding Corp-A,105.ACDC,105
DC_WS,US,Dakota Gold Corp Wt,107.DC_WS,107
BZFD,US,BuzzFeed Inc-A,105.BZFD,105
BANC,US,Banc of California Inc,106.BANC,106
OPI,US,Office Properties Income Trust,105.OPI,105
RKT,US,Rocket Companies Inc-A,106.RKT,106
SILV,US,SilverCrest Metals Inc,107.SILV,107
PAR,US,PAR Technology Corp,106.PAR,106
EDN,US,恩普雷萨电力,106.EDN,106
VNET,US,世纪互联,105.VNET,105
WALDW,US,Waldencast plc Wt,105.WALDW,105
IAUX,US,i-80 Gold Corp,107.IAUX,107
VNRX,US,VolitionRx Ltd,107.VNRX,107
VLN_WS,US,Valens Semiconductor Ltd Wt,106.VLN_WS,106
OPTX,US,Syntec Optics Holdings Inc-A,105.OPTX,105
ARBKL,US,Argo Blockchain Plc Notes,105.ARBKL,105
MTEKW,US,Maris-Tech Ltd Wt,105.MTEKW,105
YCBD,US,cbdMD Inc,107.YCBD,107
EXK,US,Endeavour Silver Corp,106.EXK,106
VHC,US,VirnetX Holding Corp,106.VHC,106
FUSB,US,First US Bancshares Inc,105.FUSB,105
DISTW,US,Distoken Acquisition Corp Wt,105.DISTW,105
FIX,US,Comfort Systems USA Inc,106.FIX,106
MSGM,US,Motorsport Games Inc-A,105.MSGM,105
OLMA,US,Olema Pharmaceuticals Inc,105.OLMA,105
BTCTW,US,BTC Digital Ltd Wt,105.BTCTW,105
BTFX,US,CoinShares Valkyrie Bitcoin Fut,105.BTFX,105
AHG,US,Akso Health Group ADR,105.AHG,105
MAXN,US,Maxeon Solar Technologies Ltd,105.MAXN,105
SYPR,US,Sypris Solutions Inc,105.SYPR,105
ALMS,US,Alumis Inc,105.ALMS,105
LX,US,乐信,105.LX,105
GLP,US,全球合伙,106.GLP,106
TBLAW,US,Taboola.com Ltd Wt,105.TBLAW,105
KTOS,US,克瑞拓斯安全防卫,105.KTOS,105
GSIW,US,一盈证券,105.GSIW,105
KGS,US,Kodiak Gas Services Inc,106.KGS,106
AROC,US,Archrock Inc,106.AROC,106
SKYQ,US,Sky Quarry Inc,105.SKYQ,105
EH,US,亿航智能,105.EH,105
RSI,US,Rush Street Interactive Inc-A,106.RSI,106
ESOA,US,Energy Services of America Corp,105.ESOA,105
XPL,US,Solitario Zinc Corp,107.XPL,107
PHAR,US,Pharming Group NV ADR,105.PHAR,105
GTI,US,Graphjet Technology-A,105.GTI,105
BITX,US,2x Bitcoin Strategy ETF,107.BITX,107
LNG,US,Cheniere Energy Inc,106.LNG,106
BROS,US,Dutch Bros Inc-A,106.BROS,106
IONQ,US,IonQ Inc,106.IONQ,106
CMPOW,US,CompoSecure Inc Wt,105.CMPOW,105
URI,US,联合租赁,106.URI,106
ONTO,US,Onto Innovation Inc,106.ONTO,106
CRGOW,US,Freightos Ltd Wt,105.CRGOW,105
SATLW,US,Satellogic Inc Wt,105.SATLW,105
PAYS,US,Paysign Inc,105.PAYS,105
OMAB,US,墨西哥北方中心机场,105.OMAB,105
ONDS,US,Ondas Holdings Inc,105.ONDS,105
APRE,US,Aprea Therapeutics Inc,105.APRE,105
JG,US,极光,105.JG,105
XXII,US,22nd Century Group Inc,105.XXII,105
AIV,US,公寓投资管理,106.AIV,106
SCE_G,US,SCE Trust II Pfd,106.SCE_G,106
TREX,US,Trex Co Inc,106.TREX,106
SHFS,US,SHF Holdings Inc-A,105.SHFS,105
LFT,US,Lument Finance Trust Inc,106.LFT,106
AUNA,US,Auna SA-A,106.AUNA,106
AUB,US,Atlantic Union Bankshares Corp,106.AUB,106
BITU,US,ProShares Ultra Bitcoin ETF,107.BITU,107
GETY,US,Getty Images Holdings Inc-A,106.GETY,106
CCM,US,泰和诚医疗,106.CCM,106
ALUR,US,Allurion Technologies Inc,106.ALUR,106
HMST,US,HomeStreet Inc,105.HMST,105
WLFC,US,威利斯融资租赁,105.WLFC,105
MDCX,US,Medicus Pharma Ltd,105.MDCX,105
AMCX,US,AMC网络-A,105.AMCX,105
YI,US,1药网,105.YI,105
ANEB,US,Anebulo Pharmaceuticals Inc,105.ANEB,105
SNPX,US,Synaptogenix Inc,105.SNPX,105
RNAZ,US,TransCode Therapeutics Inc,105.RNAZ,105
AIRT,US,Air T Inc,105.AIRT,105
TITN,US,Titan Machinery Inc,105.TITN,105
ATLX,US,Atlas Lithium Corp,105.ATLX,105
BLD,US,TopBuild Corp,106.BLD,106
PIII,US,P3 Health Partners Inc-A,105.PIII,105
BTBT,US,比特数字,105.BTBT,105
STRL,US,Sterling Infrastructure Inc,105.STRL,105
WLDS,US,Wearable Devices Ltd,105.WLDS,105
GCMGW,US,GCM Grosvenor Inc Wt,105.GCMGW,105
ARMN,US,Aris Mining Corp,107.ARMN,107
NUGT,US,二倍做多金矿指数ETF-Direxion,107.NUGT,107
